YEAR,MO,DY,TS,QV2M,PS,T2M_RANGE,T2M_MIN,T2M_MAX,WS10M_RANGE
2013,5,2,11.64,5.8,97.5,9.34,6.07,15.4,5.03
2013,5,3,13.58,5.8,97.58,13.62,5.56,19.18,3.42
2013,5,4,15.22,6.29,97.59,14.73,6.91,21.65,2.8
2013,5,5,16.08,6.35,97.6,15.38,7.26,22.64,2.04
2013,5,6,18.16,6.77,97.52,17.12,8.74,25.87,2.68
2013,5,7,19.12,8.3,97.37,13.13,12.14,25.27,4.66
2013,5,8,19.35,8.73,97.23,10.27,14.58,24.85,4.09
2013,5,9,19.14,8.85,97.2,13.77,11.64,25.41,7.16
2013,5,10,15.75,6.41,97.55,11.93,8.73,20.66,2.77
2013,5,11,14.6,5.49,97.7,13.56,6.86,20.42,2.49
2013,5,12,14.46,5.68,97.86,14.38,5.9,20.27,2.56
2013,5,13,16.48,6.23,97.63,17.65,6.67,24.32,4.27
2013,5,14,15.25,8.18,96.73,10.6,8.5,19.09,2.27
2013,5,15,12.48,6.59,95.87,8.27,6.6,14.87,7.52
2013,5,16,11.44,4.88,95.82,11.1,4.78,15.88,6.53
2013,5,17,12.68,5.68,95.69,10.66,5.88,16.55,4.26
2013,5,18,11.54,5.37,96.22,8.95,6.57,15.51,5.43
2013,5,19,11.85,5.49,97.21,8.37,6.65,15.02,4.36
2013,5,20,13.17,5.68,97.46,10.69,6.2,16.89,4.31
2013,5,21,13.52,5.55,97.36,13.9,5.3,19.2,6.04
2013,5,22,15.11,7.02,97.31,11.1,9.31,20.41,3.98
2013,5,23,14.53,6.29,97.3,11.2,8.6,19.8,4.7
2013,5,24,12.57,4.7,97.41,10.74,6.45,17.2,4.72
2013,5,25,12.3,4.82,97.55,12.45,5.46,17.92,6.59
2013,5,26,15.01,5.92,97.29,19.66,2.81,22.46,3.7
2013,5,27,15.22,7.93,96.65,9.04,10.01,19.05,4.2
2013,5,28,12.49,5.74,96.64,8.7,7.15,15.85,9.02
2013,5,29,11.58,5.07,96.88,10.37,5.15,15.51,5.66
2013,5,30,13.19,6.1,97.18,11.98,6.15,18.13,6.98
2013,5,31,13.6,6.35,97.38,8.95,8.69,17.65,5.05
2013,6,1,15.73,6.65,97.68,12.07,9.51,21.58,3.58
2013,6,2,17.52,6.9,97.66,16.04,8.32,24.36,3.69
2013,6,3,17.92,6.59,97.52,15.16,8.94,24.11,1.75
