Date,Name,holidays
2023-03-20,Day off for San Jose,1
2023-03-20,March Equinox,1
2023-03-26,Daylight Saving Time starts,1
2023-04-02,Palm Sunday,1
2023-04-06,Maundy Thursday,1
2023-04-06,Maundy Thursday,1
2023-04-07,Good Friday,1
2023-04-08,Holy Saturday,1
2023-04-09,Easter Sunday,1
2023-04-10,Easter Monday,1
2023-04-10,Easter Monday,1
2023-04-22,Eid al-Fitr,1
2023-04-22,Eid al-Fitr,1
2023-04-23,Day of Aragón,1
2023-04-23,St George's Day,1
2023-04-23,Castile and León Day,1
2023-04-24,Day off for Day of Aragón,1
2023-05-01,Labor Day / May Day,1
2023-05-02,Day of Madrid,1
2023-05-07,Mothers' Day,1
2023-05-17,Galicia Literature Day,1
2023-05-28,Whit Sunday/Pentecost,1
2023-05-29,Whit Monday,1
2023-05-30,Day of the Canary Islands,1
2023-05-31,Day of Castile-La Mancha,1
2023-06-08,Corpus Christi,1
2023-06-08,Corpus Christi,1
2023-06-09,Day of Murcia,1
2023-06-09,Day of La Rioja,1
2023-06-13,San Antonio,1
2023-06-21,June Solstice,1
2023-06-24,Saint John the Baptist Day,1
2023-06-24,Saint John the Baptist Day,1
2023-06-29,Eid al-Adha,1
2023-07-25,Feast of Saint James the Apostle,1
2023-07-25,Feast of Saint James the Apostle,1
2023-07-28,Day of the Institutions,1
2023-08-05,The Day of Our Lady of Africa,1
2023-08-13,The Day of Cantabria,1
2023-08-15,Assumption of Mary,1
2023-09-02,Day of the Independent City of Ceuta,1
2023-09-06,Elcano's Day,1
2023-09-08,Day of Asturias,1
2023-09-08,Day of Extremadura,1
2023-09-08,Virgin of the Victory,1
2023-09-11,National Day of Catalonia,1
2023-09-15,Nuestra Señora de la Bien Aparecida,1
2023-09-23,September Equinox,1
2023-10-09,Day of the Valencian Community,1
2023-10-12,Hispanic Day,1
2023-10-29,Daylight Saving Time ends,1
2023-11-01,All Saints' Day,1
2023-12-03,Day of Navarre,1
2023-12-06,Constitution Day,1
2023-12-08,Immaculate Conception,1
2023-12-22,December Solstice,1
2023-12-24,Christmas Eve,1
2023-12-25,Christmas Day,1
2023-12-26,St Stephen's Day,1
2023-12-26,St Stephen's Day,1
2023-12-31,Feast of the Holy Family,1
2023-12-31,New Year's Eve,1
